,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-09-27,1519,181500,2440498,13.4,13.5,13.4,13.5,0.05,87
1,2012-09-28,1519,210685,2814879,13.5,13.5,13.1,13.3,-0.2,89
2,2012-10-01,1519,74145,985718,13.2,13.35,13.2,13.35,0.05,45
3,2012-10-02,1519,106865,1431192,13.35,13.5,13.3,13.45,0.1,68
4,2012-10-03,1519,680180,9366833,13.5,14.0,13.5,13.65,0.2,309
5,2012-10-04,1519,193374,2620899,13.55,13.75,13.45,13.55,-0.1,99
6,2012-10-05,1519,84338,1141529,13.5,13.65,13.45,13.55,0.0,56
7,2012-10-08,1519,275700,3669770,13.55,13.55,13.15,13.2,-0.35,127
8,2012-10-09,1519,322696,4243014,13.2,13.35,12.95,13.35,0.15,182
9,2012-10-11,1519,420578,5476305,13.25,13.25,12.85,12.9,-0.45,130
10,2012-10-12,1519,267162,3428713,12.9,13.0,12.75,12.75,-0.15,125
11,2012-10-15,1519,259000,3253800,12.75,12.8,12.4,12.55,-0.2,160
12,2012-10-16,1519,198198,2479474,12.5,12.65,12.4,12.55,0.0,95
13,2012-10-17,1519,147830,1854831,12.55,12.65,12.45,12.5,-0.05,119
14,2012-10-18,1519,140115,1762387,12.5,12.65,12.5,12.65,0.15,73
15,2012-10-19,1519,55338,693991,12.6,12.6,12.45,12.6,-0.05,31
16,2012-10-22,1519,144267,1767147,12.45,12.45,12.1,12.4,-0.2,99
17,2012-10-23,1519,170850,2086354,12.35,12.35,12.2,12.25,-0.15,89
18,2012-10-24,1519,190370,2317763,12.2,12.3,12.05,12.3,0.05,72
19,2012-10-25,1519,140702,1706643,12.15,12.2,12.05,12.1,-0.2,62
20,2012-10-26,1519,518976,6144518,12.1,12.1,11.6,11.8,-0.3,138
21,2012-10-29,1519,268302,3097857,11.8,11.8,11.4,11.4,-0.4,126
22,2012-10-30,1519,295055,3381480,11.4,11.6,11.35,11.6,0.2,126
23,2012-10-31,1519,464050,5511194,11.85,12.1,11.8,11.9,0.3,170
24,2012-11-01,1519,501400,6016479,11.8,12.2,11.75,12.1,0.2,208
25,2012-11-02,1519,319887,3930470,12.1,12.5,12.1,12.15,0.05,148
26,2012-11-05,1519,242549,2920338,12.05,12.1,11.95,12.1,-0.05,77
27,2012-11-06,1519,141224,1712903,12.1,12.4,11.9,12.4,0.3,74
28,2012-11-07,1519,162365,1967866,12.25,12.25,12.05,12.1,-0.3,88
29,2012-11-08,1519,215773,2574976,12.1,12.1,11.85,12.1,0.0,103
30,2012-11-09,1519,145388,1751542,11.9,12.2,11.9,12.2,0.1,70
31,2012-11-12,1519,69279,840124,12.2,12.2,12.05,12.2,0.0,42
32,2012-11-13,1519,102512,1231444,12.2,12.2,11.85,12.1,-0.1,62
33,2012-11-14,1519,132048,1579578,12.1,12.1,11.9,12.05,-0.05,94
34,2012-11-15,1519,167050,1980894,11.9,11.9,11.8,11.85,-0.2,59
35,2012-11-16,1519,192151,2255374,11.8,11.95,11.6,11.65,-0.2,132
36,2012-11-19,1519,186707,2154195,11.65,11.7,11.45,11.5,-0.15,103
37,2012-11-20,1519,194117,2220726,11.5,11.55,11.35,11.4,-0.1,88
38,2012-11-21,1519,1389651,15831350,11.4,11.55,11.2,11.55,0.15,192
39,2012-11-22,1519,203657,2317757,11.8,11.8,11.25,11.25,-0.3,121
40,2012-11-23,1519,239475,2736261,11.25,11.6,11.25,11.6,0.35,155
41,2012-11-26,1519,250833,2918277,11.6,11.9,11.5,11.9,0.3,175
42,2012-11-27,1519,151534,1783799,11.85,11.9,11.65,11.9,0.0,102
43,2012-11-28,1519,67049,788471,11.7,11.85,11.7,11.75,-0.15,46
44,2012-11-29,1519,431544,5097540,11.75,11.95,11.7,11.85,0.1,290
45,2012-11-30,1519,1164839,13472051,11.85,11.9,11.35,11.35,-0.5,606
46,2012-12-03,1519,487917,5713266,11.6,11.9,11.45,11.9,0.55,279
47,2012-12-04,1519,410741,4846042,11.9,12.0,11.6,11.9,0.0,160
