,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
1,2012-09-11,0060,2000,54200,27.4,27.4,26.8,26.8,0.0,2
2,2012-09-12,0060,6000,165700,27.9,27.9,27.56,27.56,0.76,3
3,2012-09-13,0060,1000,27990,27.99,27.99,27.99,27.99,0.43,1
4,2012-09-14,0060,7000,193300,27.51,28.05,27.51,28.05,0.06,3
5,2012-09-17,0060,4000,112150,27.98,28.21,27.98,28.21,0.16,3
6,2012-09-18,0060,7000,196760,27.85,28.5,27.85,28.1,-0.11,6
7,2012-09-19,0060,21000,587980,27.86,28.27,27.62,27.74,-0.36,20
8,2012-09-20,0060,9000,251530,27.76,28.28,27.76,28.28,0.54,7
9,2012-09-21,0060,6000,169020,28.17,28.17,28.17,28.17,-0.11,1
10,2012-09-24,0060,1000,28210,28.21,28.21,28.21,28.21,0.04,1
11,2012-09-25,0060,2000,56780,28.39,28.39,28.39,28.39,0.18,2
13,2012-09-27,0060,5000,141920,28.3,28.5,28.3,28.5,0.0,5
14,2012-09-28,0060,10000,275570,27.71,28.2,27.24,28.2,-0.3,8
17,2012-10-03,0060,2301,64647,28.19,28.19,28.15,28.15,0.0,3
18,2012-10-04,0060,78000,2156980,27.65,27.98,27.6,27.98,-0.17,4
19,2012-10-05,0060,3000,83980,27.98,28.0,27.98,28.0,0.02,2
21,2012-10-09,0060,6000,168230,27.97,28.3,27.97,28.3,0.0,6
22,2012-10-11,0060,2000,55000,27.5,27.5,27.5,27.5,-0.8,2
23,2012-10-12,0060,1000,27700,27.7,27.7,27.7,27.7,0.2,1
24,2012-10-15,0060,2000,54400,27.2,27.2,27.2,27.2,-0.5,2
25,2012-10-16,0060,1000,27980,27.98,27.98,27.98,27.98,0.78,1
26,2012-10-17,0060,6000,168190,27.9,28.32,27.5,27.5,-0.48,6
28,2012-10-19,0060,1000,27300,27.3,27.3,27.3,27.3,0.0,1
29,2012-10-22,0060,3000,80470,26.89,26.89,26.7,26.7,-0.6,3
30,2012-10-23,0060,3000,82080,27.24,27.6,27.24,27.6,0.9,3
32,2012-10-25,0060,1000,27000,27.0,27.0,27.0,27.0,0.0,1
33,2012-10-26,0060,1000,27440,27.44,27.44,27.44,27.44,0.44,1
34,2012-10-29,0060,8000,220070,27.44,27.7,27.44,27.44,0.0,8
40,2012-11-06,0060,70000,1810540,25.6,27.66,25.6,27.66,1.73,20
41,2012-11-07,0060,9001,243737,26.44,27.9,26.44,27.47,-0.19,9
43,2012-11-09,0060,1000,27750,27.75,27.75,27.75,27.75,0.0,1
44,2012-11-12,0060,15000,399700,27.76,27.76,25.82,26.78,-0.97,13
45,2012-11-13,0060,5000,133970,26.7,27.1,26.37,26.7,-0.08,5
46,2012-11-14,0060,2000,53310,26.66,26.66,26.65,26.65,-0.05,2
47,2012-11-15,0060,1000,26630,26.63,26.63,26.63,26.63,-0.02,1
48,2012-11-16,0060,6000,160030,26.63,26.84,26.61,26.84,0.21,5
53,2012-11-23,0060,3000,78670,25.77,26.9,25.77,26.9,1.13,3
55,2012-11-27,0060,10000,266750,27.8,27.8,26.2,26.96,0.0,10
56,2012-11-28,0060,5350,141994,26.3,26.96,26.17,26.96,0.0,6
58,2012-11-30,0060,5250,140670,26.78,26.89,26.75,26.75,0.5,6
59,2012-12-03,0060,1000,26420,26.42,26.42,26.42,26.42,-0.33,1
61,2012-12-05,0060,35000,925900,26.4,26.53,26.4,26.53,0.33,4
62,2012-12-06,0060,9000,238800,26.5,26.6,26.5,26.6,0.07,9
63,2012-12-07,0060,18100,482606,26.97,26.98,26.6,26.6,0.0,17
64,2012-12-10,0060,1000,26600,26.6,26.6,26.6,26.6,0.0,1
65,2012-12-11,0060,1000,26600,26.6,26.6,26.6,26.6,0.0,1
67,2012-12-13,0060,1000,26830,26.83,26.83,26.83,26.83,0.0,1
68,2012-12-14,0060,4000,107920,27.0,27.1,26.9,27.1,0.27,4
69,2012-12-17,0060,2100,56138,26.72,26.72,26.72,26.72,-0.38,2
70,2012-12-18,0060,7000,191760,27.2,27.5,27.2,27.36,0.64,7
71,2012-12-19,0060,1000,27100,27.1,27.1,27.1,27.1,-0.26,1
74,2012-12-22,0060,4000,105590,26.48,26.5,26.13,26.5,0.0,4
75,2012-12-24,0060,2000,53680,26.81,26.87,26.81,26.87,0.37,2
76,2012-12-25,0060,22000,594070,26.87,27.2,26.87,27.0,0.13,3
78,2012-12-27,0060,15130,412315,27.43,27.49,26.91,26.91,0.0,10
80,2013-01-02,0060,7000,189440,27.03,27.19,27.03,27.19,0.0,5
81,2013-01-03,0060,22050,607740,27.26,27.73,27.26,27.72,0.53,14
84,2013-01-08,0060,6000,166310,27.8,27.8,27.7,27.7,0.0,6
86,2013-01-10,0060,24000,671800,27.98,28.0,27.98,28.0,0.0,7
87,2013-01-11,0060,1000,28390,28.39,28.39,28.39,28.39,0.39,1
88,2013-01-14,0060,1000,28140,28.14,28.14,28.14,28.14,-0.25,1
89,2013-01-15,0060,2000,56310,28.01,28.3,28.01,28.3,0.16,2
90,2013-01-16,0060,4000,111190,28.3,28.3,27.63,27.63,-0.67,4
91,2013-01-17,0060,9000,252090,28.28,28.5,27.5,27.5,-0.13,9
92,2013-01-18,0060,30000,826000,27.5,27.55,27.5,27.55,0.05,5
93,2013-01-21,0060,5002,137578,27.45,27.84,27.18,27.84,0.29,6
94,2013-01-22,0060,11000,301490,27.41,27.6,27.31,27.4,-0.44,11
95,2013-01-23,0060,2000,55780,27.89,27.89,27.89,27.89,0.49,2
97,2013-01-25,0060,1000,27850,27.85,27.85,27.85,27.85,0.0,1
99,2013-01-29,0060,212000,5864650,28.0,28.19,27.57,27.99,0.0,30
100,2013-01-30,0060,5000,139250,27.85,27.85,27.85,27.85,-0.14,2
101,2013-01-31,0060,2000,55840,27.9,27.94,27.9,27.94,0.09,2
102,2013-02-01,0060,10000,281360,28.2,28.2,28.12,28.12,0.18,7
103,2013-02-04,0060,14000,398900,28.19,28.65,28.19,28.65,0.53,10
104,2013-02-05,0060,1000,28600,28.6,28.6,28.6,28.6,-0.05,1
105,2013-02-06,0060,7000,201120,28.82,28.82,28.71,28.71,0.11,3
106,2013-02-18,0060,7000,202610,29.1,29.1,28.23,28.23,-0.48,6
107,2013-02-19,0060,27000,769280,28.39,28.97,28.39,28.97,0.74,6
108,2013-02-20,0060,2000,58160,29.08,29.08,29.08,29.08,0.11,2
109,2013-02-21,0060,2000,57080,28.52,28.56,28.52,28.56,-0.52,2
110,2013-02-22,0060,9000,256360,28.52,28.6,28.31,28.31,-0.25,7
111,2013-02-23,0060,12000,346370,28.9,28.9,28.82,28.87,0.56,5
113,2013-02-26,0060,1000,28800,28.8,28.8,28.8,28.8,0.0,1
114,2013-02-27,0060,9000,256950,28.8,28.8,28.41,28.41,-0.39,8
116,2013-03-04,0060,5000,142600,28.53,28.53,28.51,28.51,0.0,4
117,2013-03-05,0060,1000,28640,28.64,28.64,28.64,28.64,0.13,1
118,2013-03-06,0060,2000,57200,28.61,28.61,28.59,28.59,-0.05,2
119,2013-03-07,0060,6000,173240,28.88,28.94,28.75,28.94,0.35,6
120,2013-03-08,0060,18000,520290,28.94,29.05,28.67,29.05,0.11,15
121,2013-03-11,0060,6000,174480,29.07,29.11,29.06,29.11,0.06,6
122,2013-03-12,0060,6000,175020,29.15,29.25,29.12,29.12,0.01,5
123,2013-03-13,0060,5000,144150,28.83,28.83,28.83,28.83,-0.29,5
126,2013-03-18,0060,7010,199288,28.67,28.67,28.32,28.32,0.0,6
127,2013-03-19,0060,4000,113610,28.38,28.45,28.38,28.4,0.08,4
130,2013-03-22,0060,10010,279300,27.76,28.0,27.76,28.0,0.0,11
131,2013-03-25,0060,3000,84580,28.06,28.43,28.06,28.43,0.43,3
132,2013-03-26,0060,2010,56920,28.3,28.34,28.3,28.34,-0.09,3
133,2013-03-27,0060,7000,198270,28.32,28.39,28.3,28.39,0.05,7
135,2013-03-29,0060,11010,309520,28.0,28.3,27.85,28.3,0.0,11
136,2013-04-01,0060,3000,84780,28.22,28.3,28.22,28.26,-0.04,3
139,2013-04-08,0060,1010,27876,27.6,27.6,27.6,27.6,0.0,2
140,2013-04-09,0060,5000,139450,27.85,27.9,27.85,27.9,0.3,5
142,2013-04-11,0060,4000,114760,28.77,28.77,28.45,28.45,0.0,3
143,2013-04-12,0060,4000,111750,27.95,27.95,27.9,27.9,-0.55,4
144,2013-04-15,0060,1000,28200,28.2,28.2,28.2,28.2,0.3,1
145,2013-04-16,0060,1000,27940,27.94,27.94,27.94,27.94,-0.26,1
