,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-09-03,2330,20795778,1738754923,83.5,83.9,82.8,83.9,0.6,7998
1,2012-09-04,2330,21703446,1816069778,84.0,84.0,83.5,84.0,0.1,5097
2,2012-09-05,2330,43302499,3564117760,83.0,83.3,81.9,82.0,-2.0,13853
3,2012-09-06,2330,25873922,2109312625,82.8,82.8,81.0,81.1,-0.9,8778
4,2012-09-07,2330,44499367,3711680234,83.0,83.9,82.8,83.8,2.7,14273
5,2012-09-10,2330,23048912,1924726208,83.3,83.6,83.2,83.5,-0.3,5828
6,2012-09-11,2330,31624909,2665308152,84.2,84.7,84.0,84.4,0.9,9388
7,2012-09-12,2330,37513971,3174841680,84.5,84.9,84.5,84.5,0.1,8244
8,2012-09-13,2330,29680695,2513614969,84.5,85.0,84.5,85.0,0.5,7897
9,2012-09-14,2330,52174702,4492191672,85.6,86.5,85.5,86.5,1.5,12865
10,2012-09-17,2330,26567240,2297102795,86.9,87.0,85.8,86.5,0.0,6630
11,2012-09-18,2330,35898109,3083460532,86.5,86.5,85.4,85.7,-0.8,8269
12,2012-09-19,2330,43594231,3729692605,85.9,86.4,85.1,86.0,0.3,8737
13,2012-09-20,2330,26839673,2290803782,86.0,86.0,85.1,85.3,-0.7,6121
14,2012-09-21,2330,51084876,4388915179,86.0,86.5,85.3,85.7,0.4,8974
15,2012-09-24,2330,30360921,2603852706,85.7,86.4,85.1,86.1,0.4,7142
16,2012-09-25,2330,35919223,3087035563,85.8,86.2,85.7,85.9,-0.2,6836
17,2012-09-26,2330,36962277,3169378957,85.4,86.4,85.0,86.4,0.5,8102
18,2012-09-27,2330,55641705,4843917168,86.8,87.8,86.2,87.6,1.2,13494
19,2012-09-28,2330,70929037,6323798528,88.6,89.8,88.5,89.8,2.2,15770
20,2012-10-01,2330,38173594,3384611328,89.2,89.2,88.3,88.9,-0.9,8934
21,2012-10-02,2330,35734271,3192851647,89.2,89.8,88.9,89.6,0.7,6356
22,2012-10-03,2330,32589245,2921834923,89.6,89.9,89.3,89.8,0.2,7271
23,2012-10-04,2330,39780768,3586440559,89.9,90.6,89.5,90.6,0.8,10858
24,2012-10-05,2330,42175189,3837331745,91.0,91.3,90.4,91.0,0.4,9903
25,2012-10-08,2330,40762655,3649042097,91.0,91.0,89.0,89.1,-1.9,9458
26,2012-10-09,2330,61216255,5366535777,87.2,88.5,87.1,87.1,-2.0,15175
27,2012-10-11,2330,77901683,6639961233,85.1,85.7,84.8,85.5,-1.6,16816
28,2012-10-12,2330,24739631,2125552996,85.6,86.3,85.3,86.3,0.8,7531
29,2012-10-15,2330,19652476,1688835188,86.1,86.4,85.4,86.4,0.1,5790
30,2012-10-16,2330,29927964,2605642551,86.7,87.5,86.7,87.5,1.1,8318
31,2012-10-17,2330,35886090,3129200403,87.8,88.0,86.5,87.4,-0.1,11696
32,2012-10-18,2330,23090340,2022320120,87.0,88.2,87.0,88.1,0.7,6779
33,2012-10-19,2330,27673474,2398661445,86.2,87.3,86.2,86.7,-1.4,7739
34,2012-10-22,2330,21235789,1824506814,86.3,86.3,85.6,86.0,-0.7,6010
35,2012-10-23,2330,16192754,1390372758,85.9,86.3,85.6,85.7,-0.3,4900
36,2012-10-24,2330,30208483,2592332070,85.1,86.4,85.1,85.4,-0.3,7746
37,2012-10-25,2330,39418993,3351045905,85.4,85.6,84.5,84.8,-0.6,11631
38,2012-10-26,2330,68297593,5948363091,86.5,88.3,86.3,87.3,2.5,16865
39,2012-10-29,2330,37746925,3334640360,88.3,89.1,87.6,88.1,0.8,10906
40,2012-10-30,2330,30349208,2684851877,88.8,89.0,87.7,88.0,-0.1,8727
41,2012-10-31,2330,26035534,2302952644,88.0,88.8,87.9,88.7,0.7,6833
42,2012-11-01,2330,36018430,3184279870,88.6,89.2,87.7,89.2,0.5,7548
43,2012-11-02,2330,39106042,3513506904,90.0,90.1,89.5,89.9,0.7,9149
44,2012-11-05,2330,31496291,2830445174,89.9,90.3,88.8,90.3,0.4,7537
45,2012-11-06,2330,26410622,2380950880,90.6,90.6,89.7,90.4,0.1,7490
46,2012-11-07,2330,22104042,2001256326,90.5,91.0,90.0,91.0,0.6,7062
47,2012-11-08,2330,39982021,3613654978,90.8,90.9,89.9,90.5,-0.5,9834
48,2012-11-09,2330,38435994,3471644015,90.3,90.9,89.5,90.8,0.3,9270
49,2012-11-12,2330,29957365,2735085181,91.0,91.8,90.6,91.3,0.5,9522
50,2012-11-13,2330,41761048,3757311680,91.0,91.0,89.3,90.3,-1.0,11539
51,2012-11-14,2330,31098501,2811100212,90.0,90.9,89.5,90.5,0.2,6542
52,2012-11-15,2330,25096315,2259688850,89.9,90.6,89.0,90.2,-0.3,6977
53,2012-11-16,2330,33802911,3035657490,89.2,90.3,89.2,90.2,0.0,6953
54,2012-11-19,2330,24008686,2163252687,89.7,90.5,89.7,90.0,-0.2,6294
55,2012-11-20,2330,21474874,1936744971,90.0,90.4,89.8,90.4,0.4,5637
56,2012-11-21,2330,30262482,2730418163,90.3,90.9,89.2,90.5,0.1,7078
57,2012-11-22,2330,20798294,1891304729,90.3,91.3,90.3,91.3,0.8,6279
58,2012-11-23,2330,64301847,6044532536,91.6,95.5,91.5,95.5,4.2,19913
59,2012-11-26,2330,40021016,3812894830,95.5,95.6,94.9,95.3,-0.2,10458
60,2012-11-27,2330,50925485,4866241979,94.6,96.3,94.3,96.3,1.0,12275
61,2012-11-28,2330,63210896,6054403755,95.8,96.1,95.3,95.9,-0.4,9478
62,2012-11-29,2330,56516236,5454663600,96.0,97.3,95.5,96.5,0.6,10024
63,2012-11-30,2330,76884589,7526710825,96.0,98.8,95.9,98.7,2.2,16933
64,2012-12-03,2330,44060536,4311338915,98.3,98.6,96.8,97.9,-0.8,12502
65,2012-12-04,2330,43075268,4147396261,96.9,97.2,95.3,96.6,-1.3,13639
66,2012-12-05,2330,60542922,5812102471,94.6,97.1,94.6,96.9,0.3,15177
67,2012-12-06,2330,33501484,3236359575,96.6,96.9,96.1,96.6,-0.3,9439
68,2012-12-07,2330,37114121,3636255890,97.1,98.5,97.1,98.1,1.5,11574
69,2012-12-10,2330,30865940,2996197439,97.9,98.0,96.5,96.5,-1.6,8883
70,2012-12-11,2330,40668489,3972651022,97.3,98.3,96.7,98.3,1.8,12010
71,2012-12-12,2330,42272408,4143972704,98.3,98.5,97.2,98.4,0.1,10100
72,2012-12-13,2330,45585236,4499194209,98.3,99.4,97.9,99.2,0.8,11536
73,2012-12-14,2330,34112762,3352051425,98.2,98.6,97.5,98.4,-0.8,9201
74,2012-12-17,2330,46715917,4526485549,96.4,97.7,96.2,97.0,-1.4,12256
75,2012-12-18,2330,35430802,3409270783,95.0,96.7,95.0,96.7,-0.3,10534
76,2012-12-19,2330,27889579,2701305036,96.7,97.3,96.2,97.3,0.6,8341
77,2012-12-20,2330,35517115,3409134340,96.1,96.9,95.1,96.0,-1.3,10738
78,2012-12-21,2330,34754207,3303552359,95.1,96.5,94.6,94.8,-1.2,10874
79,2012-12-22,2330,8384951,803332094,95.7,96.2,95.0,95.7,0.9,3112
80,2012-12-24,2330,17215850,1646053359,96.0,96.4,95.1,95.2,-0.5,5291
81,2012-12-25,2330,16006069,1543165588,96.0,97.3,95.6,96.5,1.3,5358
82,2012-12-26,2330,12055449,1164163504,96.5,97.3,96.0,96.0,-0.5,5045
83,2012-12-27,2330,24204700,2319460051,96.2,96.7,95.5,95.6,-0.4,5925
84,2012-12-28,2330,25705388,2483313883,96.8,97.0,95.9,97.0,1.4,7825
85,2013-01-02,2330,40647121,4021304950,97.6,99.9,97.1,99.6,2.6,14353
86,2013-01-03,2330,44335846,4472175100,100.5,102.0,100.0,101.0,1.4,12616
87,2013-01-04,2330,39502577,3980403777,100.5,101.5,100.0,101.5,0.5,10276
88,2013-01-07,2330,42328657,4237769552,101.0,101.0,99.1,100.5,-1.0,9042
89,2013-01-08,2330,31218717,3100841808,99.6,100.0,98.9,99.7,-0.8,9463
90,2013-01-09,2330,26417262,2638483776,100.5,100.5,99.2,100.0,0.3,7616
91,2013-01-10,2330,41234333,4133510035,99.9,101.0,99.5,101.0,1.0,8304
92,2013-01-11,2330,22993851,2319676468,101.5,101.5,100.5,101.0,0.0,7982
93,2013-01-14,2330,23575867,2375656925,101.0,102.0,100.0,102.0,1.0,6414
94,2013-01-15,2330,36015126,3620754003,102.0,102.0,99.8,100.5,-1.5,10021
95,2013-01-16,2330,35496359,3543926150,100.5,100.5,99.2,99.2,-1.3,8742
96,2013-01-17,2330,40526293,4042971250,100.5,101.0,98.5,99.3,0.1,9034
97,2013-01-18,2330,49874215,5045047215,101.5,101.5,100.5,101.5,2.2,11823
98,2013-01-21,2330,17310236,1738509600,101.0,101.0,100.0,100.5,-1.0,5625
99,2013-01-22,2330,21946618,2205121218,101.0,101.0,99.9,101.0,0.5,5388
100,2013-01-23,2330,30821432,3111421288,101.5,101.5,100.0,101.0,0.0,7292
101,2013-01-24,2330,40653209,4059542810,100.0,100.5,99.2,99.9,-1.1,8257
102,2013-01-25,2330,48674849,4801805861,99.9,99.9,98.0,99.0,-0.9,11885
103,2013-01-28,2330,29190978,2893310122,98.7,99.5,98.6,99.3,0.3,7200
104,2013-01-29,2330,36060537,3624866512,100.0,101.5,99.7,101.0,1.7,12071
105,2013-01-30,2330,28862623,2923728423,102.0,102.0,100.5,101.5,0.5,6963
106,2013-01-31,2330,42489565,4266277265,100.5,101.5,100.0,101.5,0.0,6481
107,2013-02-01,2330,23211035,2343091003,101.5,101.5,100.5,101.5,0.0,7596
108,2013-02-04,2330,35257079,3618099182,102.0,103.0,102.0,103.0,1.5,10873
109,2013-02-05,2330,17896471,1832150196,103.0,103.0,101.5,103.0,0.0,5200
110,2013-02-06,2330,32330330,3369267370,103.5,105.0,103.0,105.0,2.0,9340
111,2013-02-18,2330,64345580,6895059371,107.0,108.5,106.5,107.0,2.0,13470
112,2013-02-19,2330,22103657,2372380213,108.5,108.5,106.5,107.0,0.0,6114
113,2013-02-20,2330,41921556,4558604798,108.5,109.5,108.0,109.0,2.0,10171
114,2013-02-21,2330,30551806,3287642271,108.5,108.5,107.0,107.0,-2.0,7485
115,2013-02-22,2330,39577666,4188440636,106.0,106.5,105.0,105.5,-1.5,10313
116,2013-02-23,2330,10174533,1083855709,106.5,107.5,106.0,107.0,1.5,3022
117,2013-02-25,2330,37216683,3938987715,106.5,107.0,105.0,105.0,-2.0,8564
118,2013-02-26,2330,38498610,4006611594,103.5,105.0,102.5,103.5,-1.5,9572
119,2013-02-27,2330,81358059,8385327394,102.0,104.5,101.0,104.5,1.0,13654
120,2013-03-01,2330,35081170,3651664826,103.0,105.0,102.5,105.0,0.5,9263
121,2013-03-04,2330,55265946,5652060892,104.5,104.5,101.5,102.0,-3.0,11896
122,2013-03-05,2330,56213527,5798480893,103.5,104.0,102.5,104.0,2.0,9603
123,2013-03-06,2330,38026322,3944092785,104.0,104.5,103.0,104.0,0.0,6844
124,2013-03-07,2330,20783572,2150594416,103.5,104.0,103.0,103.0,-1.0,6812
125,2013-03-08,2330,46036003,4753123583,103.0,104.5,102.0,103.5,0.5,8598
126,2013-03-11,2330,36093271,3706837142,102.0,104.0,102.0,102.0,-1.5,9071
127,2013-03-12,2330,30064912,3075447024,102.0,103.0,101.5,102.5,0.5,6294
128,2013-03-13,2330,57955306,6009069324,102.5,105.0,102.0,104.5,2.0,9978
129,2013-03-14,2330,33067465,3435727588,104.0,104.5,103.0,104.0,-0.5,7022
130,2013-03-15,2330,35632988,3696617211,105.0,105.0,103.0,103.0,-1.0,6030
131,2013-03-18,2330,44188807,4472705507,102.0,102.0,100.5,100.5,-2.5,11128
