,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-09-27,2345,767926,12169875,15.8,15.9,15.8,15.85,0.05,338
1,2012-09-28,2345,964887,15265452,15.9,16.0,15.75,15.8,-0.05,308
2,2012-10-01,2345,653047,10294625,15.65,15.95,15.65,15.8,0.0,247
3,2012-10-02,2345,501610,7922760,15.8,15.9,15.75,15.75,-0.05,245
4,2012-10-03,2345,484118,7624639,15.8,15.85,15.7,15.7,-0.05,206
5,2012-10-04,2345,937926,14777476,15.8,15.85,15.65,15.8,0.1,398
6,2012-10-05,2345,734938,11568117,15.75,15.85,15.7,15.7,-0.1,310
7,2012-10-08,2345,719909,11236427,15.7,15.75,15.55,15.55,-0.15,294
8,2012-10-09,2345,832221,12909902,15.55,15.65,15.45,15.5,-0.05,372
9,2012-10-11,2345,1803065,27283876,15.0,15.4,15.0,15.1,-0.4,552
10,2012-10-12,2345,666225,10056831,15.05,15.25,15.0,15.05,-0.05,292
11,2012-10-15,2345,1007572,14989591,15.05,15.15,14.75,14.75,-0.3,334
12,2012-10-16,2345,715890,10627806,14.8,14.95,14.8,14.85,0.1,275
13,2012-10-17,2345,744169,11129308,14.9,15.05,14.9,14.9,0.05,350
14,2012-10-18,2345,945949,14268823,15.1,15.25,14.95,15.05,0.15,344
15,2012-10-19,2345,546412,8156513,15.0,15.05,14.85,14.85,-0.2,197
16,2012-10-22,2345,723203,10515218,14.6,14.7,14.45,14.65,-0.2,325
17,2012-10-23,2345,776132,11524737,14.7,15.0,14.65,14.85,0.2,329
18,2012-10-24,2345,322102,4759244,14.7,14.9,14.7,14.75,-0.1,163
19,2012-10-25,2345,557752,8156310,14.7,14.95,14.5,14.5,-0.25,293
20,2012-10-26,2345,2566524,36026742,14.5,14.65,13.55,13.65,-0.85,801
21,2012-10-29,2345,1362555,18449272,13.7,13.85,13.25,13.3,-0.35,578
22,2012-10-30,2345,860027,12192224,14.2,14.2,14.0,14.2,0.9,322
23,2012-10-31,2345,3078682,44582434,14.5,14.75,14.3,14.5,0.3,1190
24,2012-11-01,2345,1943907,28057176,14.5,14.6,14.2,14.6,0.1,963
25,2012-11-02,2345,1286069,18878449,14.8,14.85,14.5,14.55,-0.05,453
26,2012-11-05,2345,886575,12823686,14.55,14.55,14.35,14.55,0.0,318
27,2012-11-06,2345,519520,7596687,14.7,14.7,14.55,14.65,0.1,232
28,2012-11-07,2345,887634,13073744,14.75,14.8,14.65,14.75,0.1,328
29,2012-11-08,2345,1070936,15558208,14.45,14.65,14.45,14.55,-0.2,330
30,2012-11-09,2345,872199,12765427,14.5,14.7,14.45,14.7,0.15,333
31,2012-11-12,2345,896792,12991981,14.55,14.6,14.35,14.45,-0.25,345
32,2012-11-13,2345,712605,10213258,14.45,14.5,14.25,14.25,-0.2,288
33,2012-11-14,2345,837504,11975328,14.1,14.45,14.1,14.45,0.2,376
34,2012-11-15,2345,687394,9845385,14.3,14.55,14.15,14.45,0.0,299
35,2012-11-16,2345,490563,7091628,14.35,14.55,14.35,14.4,-0.05,289
36,2012-11-19,2345,368655,5306797,14.5,14.5,14.3,14.35,-0.05,161
37,2012-11-20,2345,467852,6709985,14.45,14.5,14.2,14.25,-0.1,204
38,2012-11-21,2345,1060656,14920310,14.3,14.3,13.9,14.0,-0.25,497
39,2012-11-22,2345,759050,10637992,14.0,14.15,13.9,14.05,0.05,264
40,2012-11-23,2345,1285509,18304474,14.05,14.45,14.05,14.4,0.35,485
41,2012-11-26,2345,1026743,14955701,14.5,14.65,14.45,14.6,0.2,450
42,2012-11-27,2345,575347,8383174,14.65,14.65,14.5,14.6,0.0,326
43,2012-11-28,2345,962593,14084486,14.6,14.85,14.5,14.7,0.1,453
44,2012-11-29,2345,5836980,88336041,14.85,15.35,14.75,15.0,0.3,1451
45,2012-11-30,2345,1754581,26550477,15.1,15.25,15.0,15.1,0.1,750
46,2012-12-03,2345,2042702,31008005,15.2,15.3,15.0,15.1,0.0,732
47,2012-12-04,2345,2313382,35348778,15.1,15.5,15.1,15.4,0.3,737
48,2012-12-05,2345,1121901,17214117,15.4,15.45,15.2,15.35,-0.05,462
49,2012-12-06,2345,982623,15063978,15.35,15.45,15.25,15.25,-0.1,328
50,2012-12-07,2345,1025801,15678586,15.35,15.4,15.15,15.15,-0.1,321
51,2012-12-10,2345,1146780,17215026,15.15,15.25,14.8,14.95,-0.2,440
52,2012-12-11,2345,1833919,27702371,15.1,15.25,14.95,15.2,0.25,689
53,2012-12-12,2345,1429280,21965872,15.35,15.45,15.25,15.4,0.2,493
54,2012-12-13,2345,1465328,22690450,15.4,15.55,15.4,15.5,0.1,533
55,2012-12-14,2345,929442,14368048,15.45,15.55,15.4,15.45,-0.05,363
56,2012-12-17,2345,1529099,23841582,15.5,15.7,15.4,15.65,0.2,513
57,2012-12-18,2345,1310813,20539028,15.7,15.8,15.55,15.65,0.0,442
58,2012-12-19,2345,773319,12094638,15.7,15.8,15.55,15.55,-0.1,335
59,2012-12-20,2345,947878,14643804,15.55,15.65,15.3,15.45,-0.1,350
60,2012-12-21,2345,653509,10037731,15.4,15.45,15.3,15.4,-0.05,336
61,2012-12-22,2345,2527703,39850660,15.4,16.0,15.35,15.75,0.35,910
62,2012-12-24,2345,6363689,102545143,15.95,16.4,15.8,16.15,0.4,1986
63,2012-12-25,2345,2271968,36688618,16.15,16.3,16.0,16.1,-0.05,865
64,2012-12-26,2345,1256284,20183821,16.1,16.2,16.0,16.0,-0.1,489
65,2012-12-27,2345,918569,14730969,16.0,16.15,15.95,16.05,0.05,380
66,2012-12-28,2345,1682706,27040962,16.05,16.2,15.95,16.15,0.1,644
67,2013-01-02,2345,3783037,62348843,16.3,16.75,16.2,16.45,0.3,1376
68,2013-01-03,2345,2500232,41081998,16.6,16.6,16.3,16.35,-0.1,853
69,2013-01-04,2345,1212385,19845416,16.3,16.45,16.3,16.35,0.0,495
70,2013-01-07,2345,2380809,39186014,16.5,16.65,16.35,16.35,0.0,756
71,2013-01-08,2345,1454569,23660910,16.35,16.4,16.15,16.25,-0.1,484
72,2013-01-09,2345,1475748,24099495,16.2,16.5,16.1,16.25,0.0,479
73,2013-01-10,2345,1997124,32563200,16.25,16.45,16.2,16.2,-0.05,718
74,2013-01-11,2345,1580768,25740237,16.4,16.4,16.2,16.3,0.1,491
75,2013-01-14,2345,1124041,18177451,16.15,16.35,16.1,16.15,-0.15,398
76,2013-01-15,2345,1151377,18592210,16.15,16.25,16.05,16.15,0.0,418
77,2013-01-16,2345,1129598,18329574,16.15,16.35,16.1,16.15,0.0,454
78,2013-01-17,2345,1705239,27081129,16.2,16.25,15.55,15.7,-0.45,614
79,2013-01-18,2345,1875994,30195992,15.95,16.2,15.85,16.2,0.5,593
80,2013-01-21,2345,622505,10019395,16.0,16.2,15.95,16.1,-0.1,292
81,2013-01-22,2345,1669136,27103335,16.25,16.3,16.15,16.25,0.15,636
82,2013-01-23,2345,762093,12369137,16.25,16.35,16.15,16.2,-0.05,276
83,2013-01-24,2345,730104,11754664,16.1,16.2,16.0,16.1,-0.1,323
84,2013-01-25,2345,1212881,19341742,16.2,16.2,15.85,15.9,-0.2,436
85,2013-01-28,2345,464250,7409229,16.0,16.0,15.9,15.95,0.05,183
86,2013-01-29,2345,1483577,24031009,16.1,16.35,16.05,16.25,0.3,488
87,2013-01-30,2345,847967,13734813,16.3,16.3,16.1,16.2,-0.05,418
88,2013-01-31,2345,1095367,17605922,16.2,16.2,16.0,16.0,-0.2,410
89,2013-02-01,2345,1632305,26449415,16.1,16.3,16.05,16.15,0.15,576
90,2013-02-04,2345,4523221,74408194,16.4,16.55,16.35,16.4,0.25,1392
91,2013-02-05,2345,1350878,21960517,16.4,16.4,16.15,16.2,-0.2,522
92,2013-02-06,2345,975169,15836054,16.35,16.35,16.2,16.2,0.0,506
93,2013-02-18,2345,2680372,42622022,16.1,16.1,15.8,15.85,-0.35,937
94,2013-02-19,2345,2164691,34021183,15.85,15.85,15.6,15.75,-0.1,808
95,2013-02-20,2345,1620679,25726012,15.8,15.95,15.8,15.85,0.1,599
96,2013-02-21,2345,1148125,18148819,15.85,15.9,15.7,15.9,0.05,403
97,2013-02-22,2345,1564879,24617637,15.8,15.85,15.7,15.7,-0.2,522
98,2013-02-23,2345,837381,13241041,15.8,15.9,15.75,15.75,0.05,298
99,2013-02-25,2345,982827,15578507,15.7,15.9,15.7,15.85,0.1,411
100,2013-02-26,2345,1322397,21055868,15.85,16.05,15.75,15.9,0.05,579
101,2013-02-27,2345,1115941,17630359,15.8,16.0,15.75,15.75,-0.15,436
102,2013-03-01,2345,1044091,16562281,15.8,15.95,15.75,15.9,0.15,377
103,2013-03-04,2345,1609458,25510432,15.9,15.95,15.75,15.85,-0.05,448
104,2013-03-05,2345,1637229,26075918,15.9,16.05,15.85,15.9,0.05,568
105,2013-03-06,2345,1767457,27971668,16.0,16.0,15.7,15.8,-0.1,621
106,2013-03-07,2345,982849,15535653,15.9,15.9,15.75,15.85,0.05,459
107,2013-03-08,2345,2687672,42990852,15.9,16.15,15.8,16.05,0.2,772
108,2013-03-11,2345,1708392,27316267,16.15,16.15,15.8,16.0,-0.05,505
109,2013-03-12,2345,1996079,32122664,16.2,16.2,16.0,16.1,0.1,620
110,2013-03-13,2345,1289757,20798812,16.2,16.25,16.0,16.05,-0.05,442
111,2013-03-14,2345,994742,16015572,16.2,16.2,16.0,16.1,0.05,436
112,2013-03-15,2345,4056320,65956330,16.1,16.5,16.05,16.35,0.25,1186
113,2013-03-18,2345,2977871,47592543,16.3,16.3,15.75,15.85,-0.5,985
114,2013-03-19,2345,923827,14799882,15.9,16.15,15.9,16.1,0.25,514
115,2013-03-20,2345,1988437,31807192,16.1,16.15,15.8,16.1,0.0,711
116,2013-03-21,2345,1536544,24839022,16.1,16.25,16.05,16.1,0.0,428
117,2013-03-22,2345,1495141,24051902,16.05,16.2,16.0,16.05,-0.05,470
118,2013-03-25,2345,1463203,23516998,16.1,16.15,16.0,16.1,0.05,391
119,2013-03-26,2345,1915605,30874380,16.1,16.2,16.05,16.15,0.05,474
120,2013-03-27,2345,14992711,253859204,16.65,17.25,16.65,17.25,1.1,4084
121,2013-03-28,2345,16322745,284721894,17.5,17.6,17.3,17.45,0.2,4573
122,2013-03-29,2345,6836909,117998561,17.45,17.45,17.1,17.35,-0.1,2251
123,2013-04-01,2345,4888874,83697933,17.35,17.35,17.0,17.2,-0.15,1457
124,2013-04-02,2345,5978385,103296993,17.1,17.45,17.05,17.15,-0.05,2185
125,2013-04-03,2345,3326135,57576426,17.3,17.4,17.25,17.35,0.2,1140
126,2013-04-08,2345,5442590,93166855,17.15,17.35,16.75,17.15,-0.2,2575
127,2013-04-09,2345,2467563,42437624,17.15,17.35,17.1,17.2,0.05,1019
128,2013-04-10,2345,2598761,44759927,17.3,17.35,17.15,17.2,0.0,944
129,2013-04-11,2345,5793174,100654885,17.2,17.65,17.05,17.5,0.3,2055
130,2013-04-12,2345,1782491,30897333,17.5,17.5,17.2,17.2,-0.3,805
131,2013-04-15,2345,1681137,28978201,17.2,17.35,17.15,17.2,0.0,634
132,2013-04-16,2345,1262516,21637024,17.1,17.3,17.0,17.2,0.0,515
133,2013-04-17,2345,1963394,34086698,17.3,17.45,17.25,17.4,0.2,843
134,2013-04-18,2345,4086253,71941400,17.4,17.75,17.35,17.45,0.05,1657
135,2013-04-19,2345,2425519,42570179,17.6,17.65,17.45,17.6,0.15,915
136,2013-04-22,2345,2978054,52719135,17.8,17.8,17.6,17.65,0.05,1060
137,2013-04-23,2345,7570783,136670663,17.8,18.3,17.7,17.95,0.3,2425
138,2013-04-24,2345,6875689,125938752,18.0,18.5,18.0,18.2,0.25,2453
139,2013-04-25,2345,3350428,60539804,18.0,18.25,17.85,18.0,-0.2,1279
